"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"test.BuiltInBenchmarks.testContains","thrpt",16,1,0.478828,NaN,"ops/ns"
"test.BuiltInBenchmarks.testDecrement","thrpt",16,1,0.310844,NaN,"ops/ns"
"test.BuiltInBenchmarks.testGet","thrpt",16,1,0.327529,NaN,"ops/ns"
"test.BuiltInBenchmarks.testIncrement","thrpt",16,1,0.033297,NaN,"ops/ns"
"test.BuiltInBenchmarks.testPut","thrpt",16,1,0.033881,NaN,"ops/ns"
"test.BuiltInBenchmarks.testRemove","thrpt",16,1,0.275849,NaN,"ops/ns"
"test.MyBenchmarks.testContains","thrpt",16,1,0.021155,NaN,"ops/ns"
"test.MyBenchmarks.testDecrement","thrpt",16,1,0.016938,NaN,"ops/ns"
"test.MyBenchmarks.testGet","thrpt",16,1,0.019633,NaN,"ops/ns"
"test.MyBenchmarks.testIncrement","thrpt",16,1,0.012048,NaN,"ops/ns"
"test.MyBenchmarks.testPut","thrpt",16,1,0.011551,NaN,"ops/ns"
"test.MyBenchmarks.testRemove","thrpt",16,1,0.016603,NaN,"ops/ns"
"test.BuiltInBenchmarks.testContains","avgt",16,1,42.239134,NaN,"ns/op"
"test.BuiltInBenchmarks.testDecrement","avgt",16,1,52.888929,NaN,"ns/op"
"test.BuiltInBenchmarks.testGet","avgt",16,1,51.489711,NaN,"ns/op"
"test.BuiltInBenchmarks.testIncrement","avgt",16,1,502.010214,NaN,"ns/op"
"test.BuiltInBenchmarks.testPut","avgt",16,1,477.632045,NaN,"ns/op"
"test.BuiltInBenchmarks.testRemove","avgt",16,1,62.169425,NaN,"ns/op"
"test.MyBenchmarks.testContains","avgt",16,1,814.666650,NaN,"ns/op"
"test.MyBenchmarks.testDecrement","avgt",16,1,931.926709,NaN,"ns/op"
"test.MyBenchmarks.testGet","avgt",16,1,806.303226,NaN,"ns/op"
"test.MyBenchmarks.testIncrement","avgt",16,1,1519.414056,NaN,"ns/op"
"test.MyBenchmarks.testPut","avgt",16,1,1384.143606,NaN,"ns/op"
"test.MyBenchmarks.testRemove","avgt",16,1,943.234698,NaN,"ns/op"
