"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"test.BuiltInBenchmarks.testContains","thrpt",8,15,562128.721965,11357.520725,"ops/ms"
"test.BuiltInBenchmarks.testDecrement","thrpt",8,15,436209.650729,4693.873322,"ops/ms"
"test.BuiltInBenchmarks.testGet","thrpt",8,15,448178.309352,7226.763656,"ops/ms"
"test.BuiltInBenchmarks.testIncrement","thrpt",8,15,50765.430342,219.096857,"ops/ms"
"test.BuiltInBenchmarks.testPut","thrpt",8,15,55641.275738,200.996971,"ops/ms"
"test.BuiltInBenchmarks.testRemove","thrpt",8,15,409261.510535,10635.225797,"ops/ms"
"test.BuiltInBenchmarks.testContains","avgt",8,15,0.000015,0.000000,"ms/op"
"test.BuiltInBenchmarks.testDecrement","avgt",8,15,0.000019,0.000000,"ms/op"
"test.BuiltInBenchmarks.testGet","avgt",8,15,0.000018,0.000000,"ms/op"
"test.BuiltInBenchmarks.testIncrement","avgt",8,15,0.000160,0.000000,"ms/op"
"test.BuiltInBenchmarks.testPut","avgt",8,15,0.000150,0.000001,"ms/op"
"test.BuiltInBenchmarks.testRemove","avgt",8,15,0.000021,0.000000,"ms/op"
