"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"test.MyBenchmarks.testContains","thrpt",8,15,33346.641733,16.299369,"ops/ms"
"test.MyBenchmarks.testDecrement","thrpt",8,15,32501.449482,42.799180,"ops/ms"
"test.MyBenchmarks.testGet","thrpt",8,15,30401.077982,9.068748,"ops/ms"
"test.MyBenchmarks.testIncrement","thrpt",8,15,22037.379559,9.928697,"ops/ms"
"test.MyBenchmarks.testPut","thrpt",8,15,23184.663217,61.023490,"ops/ms"
"test.MyBenchmarks.testRemove","thrpt",8,15,30133.782868,14.986188,"ops/ms"
"test.MyBenchmarks.testContains","avgt",8,15,0.000244,0.000000,"ms/op"
"test.MyBenchmarks.testDecrement","avgt",8,15,0.000258,0.000000,"ms/op"
"test.MyBenchmarks.testGet","avgt",8,15,0.000256,0.000000,"ms/op"
"test.MyBenchmarks.testIncrement","avgt",8,15,0.000340,0.000004,"ms/op"
"test.MyBenchmarks.testPut","avgt",8,15,0.000362,0.000001,"ms/op"
"test.MyBenchmarks.testRemove","avgt",8,15,0.000246,0.000001,"ms/op"
